category,source,text,year,day,date_display,person_title,star_name,actors
event_start,Encyclopedia Mysenvaria,Encyclopedia Mysenvaria is published.,1313,,1313 AT,,,
event_start,Golden Age,Start of the Golden Age. (end. 1214 AT),609,,609 AT,,,
event_end,Golden Age,End of the Golden Age. (beg. 609 AT),1214,,1214 AT,,,
event_start,Post-War Era,Start of the Post-War Era. (end. 609 AT),0,,0 AT,,,
event_end,Post-War Era,End of the Post-War Era. (beg. 0 AT),609,,609 AT,,,
event_start,Iteration Period,The Iteration Period begins with the creation of the first organism by the God of Hydrogen Cyanide. It lasts until 55 BT and sees the creation of over 99% of all organisms to ever be created.,-140,,140 BT,,,
event_end,Iteration Period,The Iteration Period ends following the passing of the Creations Act. 99% of all organisms which will ever exist were created since the start of the period.,-55,,55 BT,,,
event_start,Quickening,The Quickening begins following the publication of the Quickening Star. An estimated 15 billion Gods are created over less than a single season.,-178,294,294th of 178 BT,,,
event_start,God Councils,First God Council held.,-145,1,1st of 145 BT,,,
event_start,God Councils,Second God Council held.,-55,1,1st of 55 BT,,,
event_start,God Councils,Third God Council held.,-39,1,1st of 39 BT,,,
event_start,God Councils,Fourth God Council held.,-12,1,1st of 12 BT,,,
event_start,God Councils,Fifth God Council held.,-6,1,1st of 6 BT,,,
event_start,God Councils,Sixth God Council held.,-1,360,360th of 1 BT,,,
event_start,Lover's Period,Start of the Lover's Period. (end. 12 BT),-41,,41 BT,,,
event_end,Lover's Period,End of the Lover's Period. (beg. 41 BT),-12,,12 BT,,,
event_start,God-War Era,Start of the God-War Era. (end. 0 AT),-177,,177 BT,,,
event_end,God-War Era,End of the God-War Era. (beg. 177 BT),0,,0 AT,,,
event_start,God-War Era,Start of the Early-War Epoch. (end. 116 BT),-177,,177 BT,,,
event_start,God-War Era,"End of the Early-War Epoch (beg. 116 BT), start of the Mid-War Epoch. (end. 55 BT)",-116,,116 BT,,,
event_start,God-War Era,"End of the Mid-War Epoch (beg. 55 BT), start of the Late-War Epoch. (end. 0 AT)",-55,,55 BT,,,
event_start,Dying Period,"The Dying Period begins (end. 160 BT) following the First Death. It doesn't end until 160 BT, after the passing of three quarters of all Gods that have ever existed.",-177,26,26th of 177 BT,,,
event_end,Dying Period,"The Dying Period ends (beg. 177 BT) after the passing of three quarters of all Gods which have ever existed. An estimated 11.2 billion Gods have passed away in seventeen years, over 1.9 million Gods per day.",-160,267,267th of 160 BT,,,
event_start,The Great Poleward Fog Migration,"Following the First God Council the Great Fog is shrunk drastically, to the scope known in the modern day. Millions of Gods are displaced and forced to migrate poleward, starting the Great Poleward Fog Migration.",-145,1,1st of 145 BT,,,
event_end,The Great Poleward Fog Migration,The Great Poleward Fog Migration ends after a period of one season.,-145,90,90th of 145 BT,,,
event_start,First Convening,The God of Fulgurite holds the First Convening. Of the 20 Gods invited only 16 arrive. Each invitee had witnessed the First Death. The event sees the formation of many ideas and theories regarding the beginning war.,-176,,176 BT,,,
event_start,Great Flood,Start of the Great Flood. (end. 11 BT),-25,,25 BT,,,
event_end,Great Flood,End of the Great Flood. (beg. 25 BT),-11,,11 BT,,,
event_start,Modern Era,Start of the Modern Era. (ongoing),1214,,1214 AT,,,
event_end,Modern Era,The modern day.,1496,,1496 AT,,,
star_major,Spatial Act,As Gods' manipulations of time and space grow more severe the Gods of Time and Space pass the Spatial Act.,-175,213,213th of 175 BT,,Spatial Act,Gods of Time and Space
star_major,Convening Star,"Following the First Convening the God of Fulgurite would publish the Convening Star, detailing the organizing of the event, the attendees, the discussions held, and the conclusions drawn.",-176,,176 BT,,Convening Star,God of Fulgurite
star_major,Convening Star,"Following Fulgurite's passing at the hands of Sodium Ethyl Xanthate they would republish many of Fulgurite's stars, including the Convening Star.",-53,,53 BT,,Convening Star,God of Sodium Ethyl Xanthate
star_major,Convening Star,"Following God of Sodium Ethyl Xanthate's own passing their close sibling God of Diethyl Dixanthogen Disulfide would republish many of their stars, including the Convening Star.",-1,,1 BT,,Convening Star,God of Diethyl Dixanthogen Disulfide
star_major,Quickening Star,"The God of Carbon publishes the Quickening Star to document their creation of the Carbon Compound Gods via domain subdivision. Other Elemental Gods follow behind, publishing their own stars and creating the Quickening System.",-178,294,294th of 178 BT,,Quickening Star,God of Carbon
