Universal Common Ancestor; c. BT 523; Created to spread the territory of its creator God. Single celled simple organism which fragments and propagates to grow rather than dispersing seed.
 Algae; c. BT 512; Amongst the first and simplest of the plants, created to serve as primary producers, spreading territory and creating energy which is used further up in the ecosystem. Algae are capable of surviving and thriving in water environments.
  Green Algae; c. BT 512; Single-celled algae that rapidly reproduce and bloom.
  Colonial Algae; c. BT 511; Algae which grow together in colonies.
 Worts; c. BT 503; Created to spread territory in damp terrestrial and subterraneous environments, similar to algae in their purpose.
  Leafless Worts; c. BT 505; Created to colonize soils quickly, producing dense mats which protect against erosion.
  Leaved Worts; c. BT 505; Created to compete with leafless worts, grow slower but create leaves which may steal light from competing smaller plants.
 Seminifer; c. BT 484; An improvement to the previous design, seminifers can spread territory further by procreating with one another.
  Fern; c. BT 484; Photosynthetic seminifers which spread by releasing spores into the atmosphere.
  Fungus; c. BT 483; Seminifers which spread by releasing spores into the atmosphere. Attain their nutrience by consuming biotic material.
   Mold; c. BT 484; Fungus created to quickly break down organic matter.
   Yeast; c. BT 480; Fungus created to aid in fermentation, thriving in anaerobic environments where fermentation is vital.
   Shroom; c. BT 479; Fungus created to hold symbiotic relationshipos with plants.
    Gill-less Shrooms; c. BT 479; Adapted for environments where spore dispersal is more challenging, relying on other methods.
    Gilled Shrooms; c. BT 478; Adapted for environments where spore dispersal is easiest, allowing them to thrive in forest and dense habitats.
  Florifer; c. BT 471; Seminifers which spread by convincing other species to spread their seed.
   Conifers; c. BT 471; Florifiers which produce seed-bearing cones which can spread seeds autonomously by wind.
    s. Redwoods; c. BT 464; Some of the largest trees in the world.
    s. Chimetrees; c. BT 460; Nutty conifers found in dry climates. Produce elongated woody wind chime-like cones.
   Fruiting Plants; c. BT 462; Florifers which produce fleshy fruits to attract organisms which may spread their seeds.
    Aquatic; c. BT 462; Fruiting plants created to thrive in primarily aquatic environments.
     s. Rice; c. BT 451; Monsoon and humid subtropical plant.
    Arboreal; c. BT 460; Fruiting plants created with thick woody stems to protect them from trampling, foraging, and consumption.
     s. Date Palm; c. BT 451; Desert climate plant.
     s. Baobab; c. BT 448; Savannah climate plant.
     s. Beech; c. BT 448; Oceanic climate plant.
     s. Cocoa Tree; c. BT 448; Rainforest climate plant. Their seeds may be dried and crushed to make chocolate.
     s. Fig Tree; c. BT 448; Mediterranean climate plant.
     s. Maple; c. BT 448; Humid continental plant.
     s. Olive; c. BT 448; Mediterranean climate plant.
     s. Pecan Tree; c. BT 448; Humid subtropical climate plant.
     s. Rubber Tree; c. BT 448; Rainforest climate plant. Their tree sap may be dried and hardened into organic rubber.
     s. Shea Tree; c. BT 448; Savannah climate plant.
     s. Teak; c. BT 448; Monsoon climate plant.
     s. Almond; c. BT 448; Mediterranean climate plant.
     s. Apple; c. BT 448; Humid continental climate plant.
     s. Cherry; c. BT 448; Humid continental climate plants.
     s. Citron; c. BT 448; Humid subtropical climate plant.
     s. Mandarin Orange; c. BT 448; Humid subtropical climate plant.
     s. Lemon; c. BT 448; Hybrid plant which grows in Mediterranean climates.
     s. Curry Tree; c. BT 448; Monsoon climate plant.
     s. Papaya; c. BT 448; Rainforest climate plant.
    Herbaceous; c. BT 451; Fruiting plants created with thin soft stems.
     s. Agave; c. BT 451; Desert climate plant.
     s. Aloe; c. BT 451; Mediterranean climate plant.
     s. Barley; c. BT 451; Cold desert and cold steppe climate plant.
     s. Buckwheat; c. BT 448; Subarctic continental climate plant.
     s. Carrot; c. BT 448; Subarctic continental climate plant.
     s. Chamomile; c. BT 448; Humid continental climate plants.
     s. Ginger; c. BT 451; Rainforest climate plant.
     s. Millet; c. BT 451; Savannah climate plant.
     s. Oat; c. BT 451; Humid continental plant.
     s. Pineapple; c. BT 451; Rainforest climate plant.
